"Periodo","Non_Residents","Residents"
2014-03-31,0.171562748619251,0.828437251380749
2014-06-30,0.160698585829878,0.839301414170122
2014-09-30,0.168283957904583,0.831716042095417
2014-12-31,0.193505076199937,0.806494923800063
2015-03-31,0.209809952398197,0.790190047601803
2015-06-30,0.210293370296481,0.789706629703519
2015-09-30,0.207166964796199,0.792833035203801
2015-12-31,0.203914134781408,0.796085865218592
2016-03-31,0.24562403001323,0.75437596998677
2016-06-30,0.215679857621794,0.784320142378206
2016-09-30,0.217363030971493,0.782636969028507
2016-12-31,0.197812132182292,0.802187867817708
2017-03-31,0.201642872598497,0.798357127401503
2017-06-30,0.247038654759061,0.752961345240939
2017-09-30,0.258909164612178,0.741090835387822
2017-12-31,0.274478550427125,0.725521449572875
2018-03-31,0.307605698323437,0.692394301676563
2018-06-30,0.307848538217626,0.692151461782374
2018-09-30,0.298827190104178,0.701172809895822
2018-12-31,0.314897663559798,0.685102336440202
2019-03-31,0.319746257292151,0.680253742707849
2019-06-30,0.333730751562517,0.666269248437483
2019-09-30,0.347438758357758,0.652561241642242
2019-12-31,0.366275911962772,0.633724088037228
2020-03-31,0.380692967026759,0.619307032973241
2020-06-30,0.383341213931313,0.616658786068687
2020-09-30,0.360889853673619,0.639110146326381
2020-12-31,0.355155952627691,0.644844047372309
2021-03-31,0.354062790302811,0.645937209697189
2021-06-30,0.376469640990349,0.623530359009651
2021-09-30,0.420231512132088,0.579768487867912
2021-12-31,0.422923212348685,0.577076787651315
2022-03-31,0.41184817749201,0.58815182250799
2022-06-30,0.369920300210966,0.630079699789034
2022-09-30,0.333410053938324,0.666589946061676
2022-12-31,0.332483465880894,0.667516534119106
2023-03-31,0.319771272809491,0.680228727190509
2023-06-30,0.318226961597576,0.681773038402424
2023-09-30,0.334527609797232,0.665472390202767
2023-12-31,0.352299365985233,0.647700634014768
2024-03-31,0.352573567717072,0.647426432282928
2024-06-30,0.332327150939041,0.667672849060959
2024-09-30,0.338529312246523,0.661470687753477
2024-12-31,0.333853916505609,0.666146083494391
2025-03-31,0.334933476406061,0.665066523593939
2025-06-30,0.334474783811597,0.665525216188403
2025-09-30,0.361840693846957,0.638159306153043
2025-12-31,0.37402771997371,0.62597228002629
2026-03-31,0.383638278797834,0.616361721202166
