"Periodo","PIB"
2005-01-01,79447.6902683346
2005-04-01,81415.5475222295
2005-07-01,86574.0838850118
2005-10-01,90520.6783244249
2006-01-01,87867.406849932
2006-04-01,90402.3039299837
2006-07-01,99439.5591393975
2006-10-01,103894.730080688
2007-01-01,101106.634246784
2007-04-01,101301.233995095
2007-07-01,110318.036967857
2007-10-01,115780.094790266
2008-01-01,112631.634102117
2008-04-01,113643.297862078
2008-07-01,124383.358693253
2008-10-01,125895.709342555
2009-01-01,118657.821370434
2009-04-01,120780.443328478
2009-07-01,129064.440129152
2009-10-01,133071.295171937
2010-01-01,128913.853631738
2010-04-01,131339.035503393
2010-07-01,138322.997118009
2010-10-01,145484.113746862
2011-01-01,144950.162235545
2011-04-01,149255.650659114
2011-07-01,158289.177813869
2011-10-01,166528.009291473
2012-01-01,161358.863774753
2012-04-01,162499.49789636
2012-07-01,167588.399107085
2012-10-01,175060.239221805
2013-01-01,168308.01441378
2013-04-01,174285.098264328
2013-07-01,183492.524480723
2013-10-01,188007.362841172
2014-01-01,184417.352147198
2014-04-01,183819.343875097
2014-07-01,194748.926186744
2014-10-01,199917.377790964
2015-01-01,192099.64695327
2015-04-01,191662.175053683
2015-07-01,208171.693225413
2015-10-01,212758.484767636
2016-01-01,206792.37395082
2016-04-01,207801.502436998
2016-07-01,220633.207872237
2016-10-01,228554.915739947
2017-01-01,221106.556308824
2017-04-01,220760.708506245
2017-07-01,235819.404343184
2017-10-01,242784.33084175
2018-01-01,235959.709128438
2018-04-01,237503.357968663
2018-07-01,254117.501593203
2018-10-01,260210.431309699
2019-01-01,251646.597280598
2019-04-01,255564.203519877
2019-07-01,272347.793982117
2019-10-01,280509.405217411
2020-01-01,261665.321678169
2020-04-01,212698.65286023
2020-07-01,248845.881108044
2020-10-01,275261.144353559
2021-01-01,273720.367715959
2021-04-01,272648.662185333
2021-07-01,308955.910723201
2021-10-01,337309.059375509
2022-01-01,337205.043820066
2022-04-01,354040.191525316
2022-07-01,385286.598331808
2022-10-01,394547.166322814
2023-01-01,386430.436035544
2023-04-01,382613.92640693
2023-07-01,402020.434095591
2023-10-01,416135.203461939
2024-01-01,402398.224051119
2024-04-01,410208.572133732
2024-07-01,436587.485895411
2024-10-01,464121.717919742
2025-01-01,446290.863364057
2025-04-01,440860.099595888
2025-07-01,477927.870243469
2025-10-01,487591.201228284
2026-01-01,472759.713305764
