"Ano_Vencimiento","TES_COP","TES_UVR","Total","Fecha_Corte"
2026,22322041,0,22322041,"30-jun-2026"
2027,51366116,19755419,71121535,"30-jun-2026"
2028,38498600,0,38498600,"30-jun-2026"
2029,43510813,13467637,56978450,"30-jun-2026"
2030,55719766,0,55719766,"30-jun-2026"
2031,35209515,28075428,63284943,"30-jun-2026"
2032,27621627,0,27621627,"30-jun-2026"
2033,50059829,15090691,65150521,"30-jun-2026"
2034,15721623,0,15721623,"30-jun-2026"
2035,44224290,31738625,75962915,"30-jun-2026"
2036,15396255,0,15396255,"30-jun-2026"
2037,0,46050407,46050407,"30-jun-2026"
2040,25206800,0,25206800,"30-jun-2026"
2041,0,8825185,8825185,"30-jun-2026"
2042,46998055,0,46998055,"30-jun-2026"
2046,38226554,0,38226554,"30-jun-2026"
2049,0,33460351,33460351,"30-jun-2026"
2050,19913239,0,19913239,"30-jun-2026"
2055,0,11723457,11723457,"30-jun-2026"
2058,14724284,0,14724284,"30-jun-2026"
2062,0,28359306,28359306,"30-jun-2026"
2026,2029,2030,2031,"30-jun-2026"
