"Instrumento","Ano","Monto","Fecha_Corte"
"Total",2026,2354640.6,"al 31 de marzo de 2026"
"Total",2027,2184616.9,"al 31 de marzo de 2026"
"Total",2028,1127106.1,"al 31 de marzo de 2026"
"Total",2029,1280281.3,"al 31 de marzo de 2026"
"Total",2030,483293.7,"al 31 de marzo de 2026"
"Total",2031,1059752.8,"al 31 de marzo de 2026"
"Cetes",2026,1282204.2,"al 31 de marzo de 2026"
"Cetes",2027,864761.3,"al 31 de marzo de 2026"
"Cetes",2028,60579.9,"al 31 de marzo de 2026"
"Cetes",2029,0,"al 31 de marzo de 2026"
"Cetes",2030,0,"al 31 de marzo de 2026"
"Cetes",2031,0,"al 31 de marzo de 2026"
"Bondes D",2026,24177,"al 31 de marzo de 2026"
"Bondes D",2027,0,"al 31 de marzo de 2026"
"Bondes D",2028,0,"al 31 de marzo de 2026"
"Bondes D",2029,0,"al 31 de marzo de 2026"
"Bondes D",2030,0,"al 31 de marzo de 2026"
"Bondes D",2031,0,"al 31 de marzo de 2026"
"Bondes F",2026,589202.9,"al 31 de marzo de 2026"
"Bondes F",2027,716055.9,"al 31 de marzo de 2026"
"Bondes F",2028,271971.5,"al 31 de marzo de 2026"
"Bondes F",2029,188745.6,"al 31 de marzo de 2026"
"Bondes F",2030,77703.1,"al 31 de marzo de 2026"
"Bondes F",2031,26278.4,"al 31 de marzo de 2026"
"Bondes G",2026,11670,"al 31 de marzo de 2026"
"Bondes G",2027,50780,"al 31 de marzo de 2026"
"Bondes G",2028,65470,"al 31 de marzo de 2026"
"Bondes G",2029,26250,"al 31 de marzo de 2026"
"Bondes G",2030,36700,"al 31 de marzo de 2026"
"Bondes G",2031,23850,"al 31 de marzo de 2026"
"Bonos Tasa Fija Bono M",2026,93415.7,"al 31 de marzo de 2026"
"Bonos Tasa Fija Bono M",2027,532325.1,"al 31 de marzo de 2026"
"Bonos Tasa Fija Bono M",2028,317022.1,"al 31 de marzo de 2026"
"Bonos Tasa Fija Bono M",2029,834264.4,"al 31 de marzo de 2026"
"Bonos Tasa Fija Bono M",2030,350466.9,"al 31 de marzo de 2026"
"Bonos Tasa Fija Bono M",2031,465732,"al 31 de marzo de 2026"
"Udibonos",2026,327501.7,"al 31 de marzo de 2026"
"Udibonos",2027,91.8,"al 31 de marzo de 2026"
"Udibonos",2028,391562,"al 31 de marzo de 2026"
"Udibonos",2029,210460.6,"al 31 de marzo de 2026"
"Udibonos",2030,77.9,"al 31 de marzo de 2026"
"Udibonos",2031,527177.5,"al 31 de marzo de 2026"
